,Rule,Class,Precision,Recall,Coverage
40,if spore-print-color == w and cap-color == p then,e,100.0,0.25,0.16
41,if habitat == u and cap-surface == f and cap-shape == x and gill-color == n then,e,100.0,0.25,0.16
42,if spore-print-color == w and habitat == p and cap-color == n and bruises == t then,e,100.0,0.25,0.16
43,if cap-color == g and bruises == t and cap-surface == y and stalk-color-below-ring == w and stalk-color-above-ring == w and gill-color == n then,e,100.0,0.25,0.16
44,if habitat == u and gill-color == g and cap-shape == x then,e,100.0,0.21,0.13
45,if habitat == u and gill-color == k and cap-shape == x and cap-surface == f then,e,100.0,0.21,0.13
46,if gill-color == u and cap-color == g and stalk-color-above-ring == w and cap-surface == y and stalk-color-below-ring == w then,e,100.0,0.21,0.13
47,if gill-color == p and cap-color == g and stalk-color-above-ring == w and cap-surface == y and stalk-color-below-ring == w then,e,100.0,0.21,0.13
48,if habitat == u and cap-color == w and stalk-surface-above-ring == f and stalk-surface-below-ring == s and gill-color == w then,p,100.0,0.18,0.07
49,if habitat == u and cap-color == w and gill-color == p and stalk-surface-above-ring == f and stalk-surface-below-ring == s then,p,100.0,0.18,0.07
50,if habitat == u and cap-color == w and odor == f and stalk-surface-below-ring == s and stalk-surface-above-ring == s and gill-color == w then,p,100.0,0.18,0.07
51,if habitat == u and gill-color == p and cap-color == w and odor == f and stalk-surface-below-ring == s and stalk-surface-above-ring == s then,p,100.0,0.18,0.07
52,if habitat == u and cap-surface == f and gill-color == p and cap-shape == x then,e,100.0,0.18,0.11
53,if cap-color == c and stalk-surface-below-ring == f and cap-surface == y then,e,100.0,0.14,0.09
54,if cap-color == c and cap-surface == y and bruises == t then,e,100.0,0.11,0.07
55,if stalk-color-above-ring == y and cap-shape == k then,p,100.0,0.06,0.02
56,if stalk-surface-above-ring == y and cap-shape == k and cap-surface == s then,e,100.0,0.04,0.02
57,if stalk-surface-above-ring == y and habitat == d and cap-shape == f then,e,100.0,0.04,0.02
58,if stalk-surface-above-ring == y and cap-shape == b and cap-surface == s then,e,100.0,0.04,0.02
59,if stalk-surface-above-ring == y and cap-shape == k and habitat == d then,e,100.0,0.04,0.02
60,if stalk-surface-above-ring == y and habitat == p and cap-shape == f then,e,100.0,0.04,0.02
61,if cap-color == c and stalk-surface-below-ring == s and cap-surface == y and cap-shape == k then,e,100.0,0.04,0.02
62,if cap-color == n and cap-shape == b and cap-surface == y then,e,100.0,0.04,0.02
63,if habitat == u and gill-color == h and cap-color == w and stalk-surface-below-ring == s then,p,0,0.47,0.18
64,if cap-color == c and cap-surface == f then,e,0,0.43,0.27
65,if cap-color == g and gill-color == w and cap-surface == y and stalk-color-below-ring == w and stalk-color-above-ring == w and stalk-shape == t then,e,0,0.28,0.18
66,if cap-shape == c then,p,0,0.23,0.09
67,if stalk-surface-above-ring == y and cap-shape == x then,e,0,0.14,0.09
68,if cap-color == c and cap-surface == s then,e,0,0.14,0.09
69,if stalk-color-above-ring == y and cap-shape == f then,p,0,0.12,0.04
70,if stalk-color-above-ring == y and cap-shape == b then,p,0,0.12,0.04
71,if cap-color == c and cap-shape == f and stalk-surface-below-ring == s and cap-surface == y and bruises == f then,e,0,0.07,0.04
72,if cap-surface == g and cap-shape == f then,p,0,0.06,0.02
73,if cap-surface == g and cap-shape == k then,p,0,0.06,0.02
74,if cap-surface == g and cap-shape == b then,p,0,0.06,0.02
75,if population == c and cap-color == w and cap-surface == y and cap-shape == f then,p,0,0.06,0.02
76,if population == c and cap-shape == b and cap-color == w and cap-surface == y then,p,0,0.06,0.02
77,if cap-shape == k and cap-color == w and cap-surface == y then,p,0,0.06,0.02
78,if stalk-surface-above-ring == y and cap-shape == k and habitat == p and cap-surface == y then,e,0,0.04,0.02
